Company,dReceievedDate,Isweekday,Isweekend,Country,status,Processed,ProcessedDate,Source,Currency,PostageCosts,Subtotal,PostageCostExTax,CountryTaxRate,Total,Tax,OrderItemSKU,OrderItemTitle,ItemCategory,OrderItemQuantity,ProductSalePrice,OrderItemTaxRate,OrderItemCostExTax,OrderItemCostIncTax,TotalAfterExComsion,DispatchStockUnitCost,TotalWeight,SupPurchasePrice,Profit,Payment Method
240,3/20/2016,0,1,United Kingdom,PAID,TRUE,21/03/2016 23:26,website,GBP,0,12.5,0,0,12.5,0,2401_22,"Interlocking hearts design cake knife/server set- 1, Garden, Lawn, Maintenance",Default,1,12.5,0.826938776,12.5,12.5,10.33673469,0,0,9.8,0.536734694,Default
241,3/20/2016,0,1,United Kingdom,PAID,TRUE,21/03/2016 23:27,website,GBP,0,12.78,0,0,12.78,0,2401_guk,"interlocking hearts design cake knife/server set. A perfect gift for that wedding, baby shower, birthday",Default,1,12.78,0.826938776,12.78,12.78,10.56827755,0,0,9.8,0.768277551,Default
242,3/20/2016,0,1,United Kingdom,PAID,TRUE,,website,GBP,0,12.5,0,0,12.5,0,2401_22,"Interlocking hearts design cake knife/server set- 1, Garden, Lawn, Maintenance",Default,1,12.5,0.826938776,12.5,12.5,10.33673469,0,0,9.8,0.536734694,Default
243,3/20/2016,0,1,United Kingdom,PAID,TRUE,,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_3,Wedding Cake Knife & Sever Set Embracing Hearts (EKA01049) Brand New & Boxed,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
244,3/21/2016,1,0,United Kingdom,PAID,TRUE,,website,GBP,0,12.5,0,0,12.5,0,2401_22,"Interlocking hearts design cake knife/server set- 1, Garden, Lawn, Maintenance",Default,1,12.5,0.826938776,12.5,12.5,10.33673469,0,0,9.8,0.536734694,Default
245,3/21/2016,1,0,UNKNOWN,UNPAID,TRUE,,website,GBP,0,0,0,0,0,0,2401_22,"Interlocking hearts design cake knife/server set- 1, Garden, Lawn, Maintenance",Default,1,0,0.826938776,0,0,0,0,0,9.8,-9.8,Default
246,3/22/2016,1,0,United Kingdom,PAID,TRUE,,website,GBP,0,12.5,0,0,12.5,0,2401_spuk,interlocking hearts design cake knife/server set,Default,1,12.5,0.826938776,12.5,12.5,10.33673469,0,0,9.8,0.536734694,Default
247,3/22/2016,1,0,United Kingdom,PAID,TRUE,,website,GBP,0,12.5,0,0,12.5,0,2401_spuk,interlocking hearts design cake knife/server set,Default,1,12.5,0.826938776,12.5,12.5,10.33673469,0,0,9.8,0.536734694,Default
248,3/23/2016,1,0,United Kingdom,PAID,TRUE,,website,GBP,0,12.5,0,0,12.5,0,2401_spuk,interlocking hearts design cake knife/server set,Default,1,12.5,0.826938776,12.5,12.5,10.33673469,0,0,9.8,0.536734694,Default
249,3/24/2016,1,0,United Kingdom,PAID,TRUE,29/03/2016 21:03,website,GBP,0,12.78,0,0,12.78,0,2401_guk,"interlocking hearts design cake knife/server set. A perfect gift for that wedding, baby shower, birthday",Default,1,12.78,0.826938776,12.78,12.78,10.56827755,0,0,9.8,0.768277551,Default
250,3/27/2016,0,1,United Kingdom,PAID,TRUE,29/03/2016 21:00,website,GBP,0,12.5,0,0,12.5,0,2401_22,"Interlocking hearts design cake knife/server set- 1, Garden, Lawn, Maintenance",Default,1,12.5,0.826938776,12.5,12.5,10.33673469,0,0,9.8,0.536734694,Default
